rooms,size,reconstructed,garage,balcony,new,location,price
2.0,58.0,0,0,0,1,Košice,275000.0
3.0,130.0,1,0,1,1,Senica,140000.0
3.0,66.0,1,0,1,1,Bánovce nad Bebravou,108500.0
3.0,84.0,1,0,1,1,Nitra,183000.0
2.0,54.0,0,0,1,1,Prešov,179000.0
2.0,90.0,0,1,0,1,Košice,273000.0
2.0,53.0,0,0,0,1,Michalovce,125000.0
5.0,65.0,1,0,1,0,Prešov,163000.0
2.0,48.0,1,0,1,0,Piešťany,147906.0
1.0,59.0,1,0,0,0,Trnava,134000.0
4.0,15.0,1,0,1,0,Trnava,299000.0
3.0,72.0,0,1,1,1,Trenčín,200000.0
2.0,23.0,1,0,0,0,Trnava,180000.0
3.0,87.0,1,0,0,0,Košice,299000.0
2.0,59.0,1,0,1,1,Prešov,142900.0
2.0,44.0,1,0,1,0,Prešov,139000.0
1.0,35.0,1,0,1,1,Topoľčany,83000.0
3.0,76.0,1,0,1,0,Veľký Krtíš,53000.0
2.0,90.0,1,1,0,0,Galanta,125000.0
4.0,110.0,1,0,1,1,Dunajská Streda,226200.0
3.0,59.0,1,0,1,0,Partizánske,75000.0
2.0,51.0,0,1,1,1,Bratislava,257000.0
2.0,55.0,0,0,1,0,Piešťany,159900.0
2.0,65.0,0,0,1,0,Piešťany,135800.0
2.0,68.0,1,0,1,0,Považská Bystrica,134900.0
4.0,82.0,1,0,1,0,Piešťany,152000.0
1.0,28.0,1,0,1,0,Piešťany,96000.0
2.0,52.0,1,0,1,0,Piešťany,169000.0
2.0,72.0,0,0,0,0,Šaľa,139000.0
2.0,62.0,0,0,1,0,Partizánske,70990.0
2.0,54.0,1,0,0,0,Spišská Nová Ves,122000.0
3.0,53.0,0,1,1,1,Spišská Nová Ves,219000.0
3.0,75.0,1,0,1,0,Michalovce,115000.0
1.0,48.0,1,0,0,1,Prešov,142000.0
2.0,67.0,1,0,1,0,Trenčín,119000.0
2.0,42.0,1,0,0,0,Košice,165890.0
2.0,55.0,0,0,1,1,Skalica,89000.0
5.0,79.0,1,0,1,0,Vranov nad Topľou,130000.0
3.0,94.0,1,1,1,1,Nové Mesto n.Váhom,123600.0
2.0,40.0,1,0,1,0,Bratislava,99000.0
3.0,65.0,1,1,1,1,Bratislava,246000.0
2.0,58.0,1,0,1,0,Pezinok,158000.0
3.0,68.0,1,0,0,0,Banská Bystrica,179900.0
2.0,44.0,0,0,1,0,Michalovce,35000.0
1.0,31.07,0,1,1,1,Košice,189500.0
1.0,33.0,1,0,1,0,Piešťany,105000.0
3.0,78.0,0,1,0,1,Prešov,373613.0
4.0,99.0,1,1,1,1,Prešov,325643.0
3.0,84.0,1,1,1,1,Prešov,280133.0
2.0,49.0,0,0,1,1,Piešťany,147000.0
3.0,29.0,0,1,1,1,Piešťany,173990.0
4.0,15.0,0,0,0,1,Piešťany,273600.0
1.0,25.0,1,0,0,0,Levice,70000.0
4.0,40.0,1,0,1,1,Piešťany,335900.0
3.0,106.0,1,0,0,1,Bratislava,459000.0
2.0,55.0,1,0,0,1,Levice,62000.0
4.0,40.0,0,0,0,0,Bratislava,615000.0
4.0,57.0,0,0,0,1,Malacky,385000.0
2.0,45.0,1,0,1,1,Malacky,110000.0
2.0,74.0,1,1,1,0,Topoľčany,150000.0
4.0,82.0,1,0,1,1,Bratislava,445000.0
2.0,60.0,1,0,0,0,Bratislava,265000.0
1.0,83.0,1,0,1,1,Nové Zámky,123500.0
2.0,42.0,1,0,0,0,Bratislava,229000.0
2.0,57.0,1,0,1,1,Trenčín,165900.0
3.0,72.0,0,0,0,0,Nitra,183000.0
2.0,38.0,1,0,0,1,Banská Bystrica,145000.0
1.0,38.0,0,0,1,0,Brezno,66900.0
2.0,58.0,0,0,1,0,Michalovce,113999.0
2.0,87.0,1,0,1,0,Levice,55000.0
3.0,91.0,1,1,1,0,Levice,74999.0
3.0,80.0,1,0,1,0,Banská Bystrica,179900.0
3.0,68.0,1,0,1,1,Košice,209980.0
1.0,35.0,1,0,0,0,Kysucké Nové Mesto,109990.0
3.0,70.0,1,0,1,0,Poprad,169900.0
2.0,56.0,1,0,1,1,Ilava,110090.0
1.0,37.0,1,0,0,0,Trnava,59000.0
4.0,80.0,1,0,1,1,Nové Mesto n.Váhom,154990.0
3.0,68.0,1,0,1,1,Banská Bystrica,185000.0
2.0,60.0,0,0,1,1,Košice,169990.0
2.0,87.0,1,1,1,1,Bratislava,303000.0
2.0,49.0,1,0,1,0,Brezno,103300.0
2.0,54.0,1,0,1,1,Levice,135000.0
1.0,36.0,1,0,1,0,Zvolen,108000.0
1.0,35.0,1,0,0,1,Prešov,123999.0
2.0,65.0,0,0,1,0,Bratislava,285000.0
4.0,98.0,0,0,0,1,Senec,375000.0
1.0,30.0,0,0,0,0,Trnava,137000.0
4.0,100.0,0,0,0,1,Senec,185000.0
3.0,68.0,1,1,1,0,Trnava,164999.0
1.0,36.0,0,0,1,1,Kežmarok,96000.0
1.0,34.0,0,0,1,0,Levice,67500.0
2.0,57.0,1,0,0,0,Poprad,160000.0
4.0,84.0,1,0,1,1,Levice,120000.0
3.0,79.0,1,0,1,1,Levice,105000.0
3.0,13.0,1,1,1,1,Bratislava,440000.0
4.0,94.0,1,0,1,0,Levice,105000.0
2.0,84.0,0,0,1,0,Levice,74000.0
1.0,36.0,1,0,0,0,Galanta,95000.0
2.0,63.0,0,0,0,1,Galanta,159500.0
2.0,62.0,0,0,0,0,Prievidza,47000.0
4.0,112.0,0,0,1,1,Poprad,339000.0
3.0,133.0,1,1,1,1,Poprad,499900.0
3.0,71.0,1,0,1,0,Pezinok,179000.0
2.0,51.0,1,0,0,1,Spišská Nová Ves,92000.0
2.0,52.0,1,0,1,0,Tvrdošín,112000.0
2.0,47.0,0,0,1,0,Topoľčany,104990.0
1.0,36.0,1,0,1,0,Košice,155000.0
2.0,70.0,1,0,1,1,Martin,69990.0
2.0,60.0,1,0,1,0,Martin,145900.0
2.0,60.0,1,0,1,1,Martin,105000.0
2.0,55.0,1,0,0,0,Humenné,79900.0
2.0,55.0,1,0,0,0,Humenné,88500.0
2.0,68.0,1,1,0,1,Senec,169000.0
3.0,64.0,1,0,1,0,Dunajská Streda,128000.0
3.0,70.0,0,1,0,1,Dunajská Streda,179900.0
1.0,160.0,0,0,1,0,Galanta,98000.0
3.0,74.0,1,0,1,1,Dunajská Streda,175000.0
3.0,70.0,1,1,1,0,Dunajská Streda,118000.0
2.0,64.0,0,1,0,1,Dunajská Streda,134900.0
3.0,67.0,1,0,1,1,Dunajská Streda,106000.0
3.0,65.0,0,0,1,1,Dunajská Streda,157350.0
3.0,72.0,0,1,0,1,Dunajská Streda,110000.0
3.0,74.0,1,0,1,0,Vranov nad Topľou,114999.0
4.0,150.0,0,0,1,1,Pezinok,436240.0
2.0,56.0,1,0,0,1,Komárno,88500.0
2.0,51.0,0,0,1,1,Senec,185000.0
2.0,54.0,1,0,0,0,Žiar nad Hronom,120000.0
3.0,70.0,1,0,1,0,Poprad,188000.0
3.0,84.0,1,0,0,0,Liptovský Mikuláš,120000.0
3.0,70.0,1,0,0,0,Michalovce,120000.0
3.0,83.0,1,0,1,0,Šaľa,144000.0
2.0,50.0,1,0,1,1,Prievidza,57950.0
1.0,40.0,1,0,0,0,Detva,67900.0
2.0,48.0,1,0,1,0,Bratislava,185000.0
4.0,74.0,1,0,1,1,Nové Zámky,169900.0
3.0,62.0,0,0,0,0,Trenčín,99000.0
3.0,80.0,1,1,0,0,Prešov,165000.0
9.0,52.0,0,0,1,0,Bratislava,215000.0
3.0,84.0,1,0,0,1,Košice,329900.0
3.0,34.0,1,0,1,1,Banská Bystrica,158000.0
3.0,72.0,0,0,0,0,Liptovský Mikuláš,145000.0
2.0,19.0,0,0,1,0,Poprad,230600.0
2.0,71.0,0,1,1,0,Bratislava,281999.0
3.0,66.0,0,0,1,0,Komárno,112500.0
3.0,48.0,1,0,0,0,Bratislava,244900.0
1.0,50.0,0,0,0,0,Bratislava,235000.0
4.0,93.0,1,0,0,0,Bratislava,365000.0
5.0,140.0,1,0,1,0,Bratislava,449999.0
2.0,54.0,1,0,1,0,Bratislava,220000.0
3.0,84.0,1,0,1,1,Bratislava,354900.0
3.0,160.0,0,1,0,1,Bratislava,599000.0
3.0,68.0,1,0,1,0,Trnava,200000.0
3.0,35.0,1,0,1,1,Trnava,179990.0
3.0,73.0,1,0,1,1,Trenčín,130900.0
1.0,38.0,0,0,1,1,Žilina,148900.0
1.0,39.0,0,0,1,1,Žilina,154900.0
1.0,38.0,0,0,1,1,Žilina,154900.0
2.0,29.0,1,0,1,1,Bratislava,299900.0
3.0,93.0,1,0,1,1,Levice,113000.0
2.0,48.0,0,0,1,0,Partizánske,66900.0
2.0,67.0,1,0,1,0,Poprad,219500.0
2.0,51.0,1,0,0,0,Bratislava,210000.0
3.0,72.0,1,0,1,1,Hlohovec,139500.0
4.0,25.0,0,0,0,1,Liptovský Mikuláš,274712.0
3.0,21.0,0,0,0,1,Liptovský Mikuláš,217167.0
2.0,11.0,1,0,0,1,Liptovský Mikuláš,173549.0
4.0,75.0,0,0,0,1,Liptovský Mikuláš,266166.0
5.0,140.0,1,0,1,0,Bratislava,449999.0
4.0,82.0,1,0,1,1,Martin,214900.0
5.0,130.0,0,0,0,1,Košice,244900.0
3.0,70.0,1,0,1,0,Spišská Nová Ves,112000.0
4.0,80.0,1,0,1,0,Trenčín,169000.0
4.0,17.0,1,0,1,0,Bratislava,329900.0
3.0,65.0,1,0,1,0,Brezno,115000.0
2.0,58.0,1,0,1,0,Martin,135000.0
2.0,62.0,1,0,1,0,Nitra,165000.0
2.0,120.0,0,0,0,1,Poprad,147000.0
3.0,73.0,1,0,1,0,Komárno,137900.0
3.0,87.0,0,1,0,0,Bratislava,199000.0
3.0,77.0,1,0,1,0,Nitra,165000.0
2.0,74.0,1,0,1,1,Bratislava,219000.0
3.0,97.0,1,1,1,1,Trnava,264000.0
2.0,66.0,1,0,1,0,Snina,74000.0
3.0,55.0,1,0,0,0,Košice-okolie,95000.0
2.0,130.0,1,0,1,0,Komárno,78000.0
3.0,74.0,1,0,1,1,Stropkov,129000.0
2.0,58.0,1,1,1,1,Bratislava,195000.0
2.0,56.0,1,0,1,0,Bratislava,229999.0
2.0,54.0,0,0,0,0,Poprad,125000.0
1.0,14.0,0,0,1,0,Tvrdošín,93400.0
3.0,100.0,1,1,1,0,Vranov nad Topľou,148000.0
3.0,59.0,1,0,0,1,Bratislava,177000.0
3.0,59.0,1,0,1,1,Humenné,104900.0
